timestamp,url,success
2026-05-15T09:33:10,https://assets.fenwick.com/documents/Checklist-ESG-Disclosures-for-Biotechnology-Pharmaceuticals-Companies.pdf,yes
2026-05-15T09:33:14,https://assets.fenwick.com/documents/2023-Bio-ESG-Report.pdf,yes
2026-05-15T09:33:14,https://www.alnylam.com/sites/default/files/pdfs/alnylam-cr-report-2024.pdf,yes
2026-05-15T09:33:21,https://enablegood.co/blog/esg-reporting-pharmaceutical-companies/,yes
2026-05-15T09:33:23,https://www.alnylam.com/sites/default/files/pdfs/alnylam-cr-report-2024.pdf,yes
2026-05-15T09:33:24,https://investors.alnylam.com/press-release?id=29071,yes
2026-05-15T09:33:26,https://accesstomedicinefoundation.org/resource/the-methodology-for-the-2024-access-to-medicine-index,yes
2026-05-15T09:33:28,https://ionis.com/about-us/corporate-responsibility,yes
2026-05-15T09:33:30,https://www.regeneron.com/responsibility/our-approach,yes
2026-05-15T09:33:30,https://alnylam.co.uk/sites/default/files/pdfs/UK-corporate-social-responsibility-summary-2024.pdf,yes
2026-05-15T09:33:31,https://www.sarepta.com/about-us/corporate-responsibility,yes
2026-05-15T09:33:31,https://www.biomarin.com/company/responsibility/environmental-social-and-governance/,yes
2026-05-15T09:33:35,,no
2026-05-15T09:33:35,https://accesstomedicinefoundation.org/medialibrary/310325__2024-access-to-medicine-index_final-1743426667.pdf,yes
2026-05-15T09:33:37,https://investors.alnylam.com/press-release?id=27941,yes
2026-05-15T09:33:37,https://www.astrazeneca.com/content/dam/az/Sustainability/2022/pdf/2021_SASB_Index.pdf,no
2026-05-15T09:33:38,https://investors.alnylam.com/press-release?id=29071,yes
2026-05-15T09:33:39,https://www.biomarin.com/wp-content/uploads/2026/01/Corporate-Responsibility-Report_2025.pdf,yes
2026-05-15T09:33:39,https://www.regeneron.com/downloads/2025RR.pdf,yes
2026-05-15T09:33:39,https://news.alnylam.com/responsibility/articles/alnylam-publishes-2024-corporate-responsibility-report,yes
2026-05-15T09:33:40,https://www.alnylam.com/about-alnylam/corporate-responsibility,yes
2026-05-15T09:33:40,https://www.morningstar.com/stocks/xmex/alny/sustainability,yes
2026-05-15T09:33:41,https://ionis.com/about-us/corporate-responsibility/2024-Corporate-Responsiblity-Report.pdf,no
2026-05-15T09:33:45,https://www.globalreporting.org/standards/sector-program/,yes
2026-05-15T09:33:51,https://alnylam.co.uk/sites/default/files/pdfs/UK-corporate-social-responsibility-summary-2024.pdf,yes
2026-05-15T09:33:51,https://news.alnylam.com/responsibility/articles/alnylam-publishes-2024-corporate-responsibility-report,yes
2026-05-15T09:33:51,https://alnylam.co.uk/sites/default/files/pdfs/UK-corporate-social-responsibility-summary-2024.pdf,yes
2026-05-15T09:33:54,https://www.biomarin.com/wp-content/uploads/2025/01/Sustainability-Accounting-Standards-Board-SASB-2022-Index_102023.pdf,yes
2026-05-15T09:34:00,https://www.sarepta.com/sites/sarepta-corporate/files/2024-05/2023_Sarepta_Sustainability_Report.pdf,yes
2026-05-15T09:34:04,https://investors.alnylam.com/press-release?id=29071,yes
2026-05-15T09:34:04,https://www.sec.gov/Archives/edgar/data/1178670/000115752324000253/a53896787ex99_1.htm,yes
2026-05-15T09:34:04,https://pmc.ncbi.nlm.nih.gov/articles/PMC10587287/,yes
2026-05-15T09:34:04,https://investors.alnylam.com/press-release?id=28656,yes
2026-05-15T09:34:05,https://www.alnylam.com/about-alnylam/patient-access-philosophy,yes
2026-05-15T09:34:12,https://www.bayer.com/sites/default/files/2026-03/bayer-sasb-index-2025.pdf,no
